Question,Answer
What is Jain Foam & Furnishing?,"A home décor and furnishing store in Bhayandar East offering mattresses, curtains, wallpapers, sofas, flooring, blinds, carpets, and more since 1995."
Where is the shop located?,"Shop No. 8-9, Panch Bhagini Sadan, BP Road, Opp. Vijay Punjab Hotel, Bhayandar East, Mira Bhayandar, Maharashtra 401105."
What are your shop timings?,We are open daily from 10:00 AM to 10:00 PM.
Do you offer home delivery?,"Yes, we offer same-day delivery in Bhayandar, Mira Road, and Dahisar based on product availability."
How can I contact you?,Phone: 083690 51217 | Email: raiv5253@gmail.com | Instagram: @jain_foam
How long have you been in business?,We have been operating since 1995 — over 30+ years of trust.
What types of mattresses do you sell?,"We sell memory foam, coir, orthopedic, bonded foam, dual comfort, and premium spring mattresses."
Do you provide custom size mattresses?,"Yes, custom sizes are available for all mattress types."
Do you have orthopedic mattresses?,"Yes, orthopedic mattresses are available for back support."
What mattress brands do you keep?,We offer premium and budget-friendly brands. Message us to know today’s available brands.
Do you provide home delivery for mattresses?,Yes — same-day delivery is available for most models.
What types of curtains do you have?,"Designer curtains, blackout curtains, sheer curtains, window curtains, and door curtains."
Do you provide curtain stitching?,"Yes, we provide custom stitching and installation services."
Do you offer curtain rods and fittings?,"Yes, we provide rods, rings, and all curtain accessories."
Can I customize curtain size & fabric?,"Yes, full customization is available."
Do you make custom sofas?,"Yes, we create fully customized sofas based on size, design, and fabric."
Do you repair old sofas?,"Yes — we offer sofa repair, re-foaming, re-cushioning, and re-upholstery."
Do you provide home visit for sofa measurement?,"Yes, home visits are available."
Do you sell wallpapers?,"Yes, we have imported wallpapers, designer wallpapers, 3D wallpapers, and custom printed wallpapers."
Do you provide wallpaper installation?,"Yes, installation service is available."
Can I customize 3D wallpapers?,"Yes, custom printing is available."
What flooring options do you offer?,"PVC flooring, vinyl tiles, wooden texture flooring, and carpet rolls."
Do you offer installation for flooring?,"Yes, installation is provided by experts."
Do you have window blinds?,"Yes, roller blinds, zebra blinds, vertical blinds, and Roman blinds."
Do you sell artificial grass?,"Yes, available in 25mm, 35mm, 40mm, 50mm thickness and more."
Do you offer installation for blinds and grass?,"Yes, installation service is available."
What types of carpets do you keep?,"PVC carpets, wall-to-wall carpets, designer rugs, floormats, and doormats."
Do you have washable carpets?,"Yes, washable and durable options are available."
What types of pillows are available?,"Fiber pillows, memory foam pillows, orthopedic pillows, and cushion fillers."
Do you have bedsheets and comforters?,"Yes, we have bedsheets, fitted sheets, comforters, and blankets."
Do you provide price lists?,Pricing varies based on material and size. Share your requirement for a quote.
What payment methods do you accept?,"UPI, Cash, and Bank Transfer are accepted."
Do you offer bulk discounts?,"Yes, discounts are available for large orders."
Can I get a free quote?,"Yes, send your requirements and we will provide a quote."
Do you offer same-day delivery?,Yes — if the product is in stock.
Which areas do you serve?,"Bhayandar, Mira Road, Dahisar, and nearby areas."
Do you provide installation?,"Yes, installation is available for wallpaper, blinds, curtains, and flooring."
How do I contact the shop?,Call or WhatsApp at 083690 51217.
Can I visit the store?,"Yes, we are open from 10 AM to 10 PM daily."
Do you have parking?,"Yes, parking space is available near the shop."
Do you provide full home furnishing service?,"Yes, we offer complete home furnishing solutions."
Do you provide guidance for home décor?,"Yes, we help customers choose materials, designs, and colors."
Where can I see your product photos?,Visit our Instagram page @jain_foam.
Do you upload new products frequently?,"Yes, new designs are posted regularly."
Can I customize sofa design and fabric?,"Yes, full customization is available."
"Can I choose curtain material, color, and size?","Yes, everything is customizable."
Do you provide custom-sized wallpaper or carpets?,"Yes, custom sizes are available for all categories."
